filename,_epoch,train_acc,train_PGD10_acc,val_acc,val_PGD20_acc,test_acc,test_PGD200_acc,test_Auto_acc
_Net_resnet18__C_10__97_AT_AT_Fuzzy_R_.pth,97,94.732653,73.129488,90.200000,59.179688,84.060000,46.212421,44.343354
_Net_resnet18__C_10__84_AT_AT_Fuzzy_R_.pth,84,92.104082,66.014605,88.000000,55.371094,82.530000,44.936709,42.721519
_Net_resnet18__C_10__78_AT_AT_Fuzzy_Re_.pth,78,91.053061,65.939132,88.300000,57.031250,83.770000,48.922073,46.696994
_Net_resnet18__C_10__180_KL_2_3v_MSE_kl_2_3v_A_0.9_T_30.0_.pth,180,88.712245,63.654537,85.500000,56.640625,82.300000,50.415348,50.089003
_Net_resnet18__C_10__134_KL_2_3v_MSE2_kl_2_3v_A_0.9_T_30.0_.pth,134,85.242857,61.743228,83.600000,55.468750,79.740000,50.751582,50.000000
_Net_resnet18__C_10__166_KL_2_3v_MSE3_kl_2_3v_A_0.9_T_30.0_.pth,166,83.704082,60.762076,81.200000,53.027344,79.560000,48.941851,48.437500
_Net_resnet18__C_10__196_KL_2_3v_MSE4_kl_2_3v_A_0.9_T_30.0_.pth,196,89.593878,66.489883,86.300000,57.910156,81.190000,51.829509,48.664953
_Net_resnet18__C_10__127_KL_2_3v_MSE5_kl_2_3v_A_0.9_T_30.0_.pth,127,89.173469,66.098238,83.900000,57.714844,81.050000,51.928402,49.080301
_Net_resnet18__C_10__104_KL_2_3v_MSE6_kl_2_3v_A_0.9_T_30.0_.pth,104,85.375510,61.520888,81.800000,55.175781,79.850000,50.385680,49.693434
_Net_resnet18__C_10__145_MSE_7_kl_2_3v_A_0.9_T_100.0_.pth,145,88.973469,63.452595,85.300000,55.468750,82.870000,50.326345,49.841772
_Net_resnet18__C_10__137_MSE_delta_kl_2_3v_A_0.9_T_30.0_.pth,137,88.638776,63.636178,84.700000,54.980469,82.130000,50.939478,50.553797
_Net_resnet18__C_10__113_MSE_delta_reRun_kl_2_3v_A_0.9_T_30.0_.pth,113,88.995918,63.574984,84.800000,55.859375,82.550000,50.425237,50.009889
_Net_resnet18__C_10__176_MSE_delta_randT_kl_2_3v_A_0.9_T_30.0_.pth,176,88.916327,63.623939,84.600000,56.835938,82.450000,50.365902,49.960443
_Net_resnet18__C_10__154_MSE_A_0.95_kl_2_3v_A_0.95_T_30.0_.pth,154,85.161224,61.598401,82.200000,54.296875,79.450000,50.702136,49.762658
_Net_resnet18__C_10__108_MSE_Variant_kl_2_3v_A_0.9_T_30.0_.pth,108,92.504082,64.955940,88.600000,55.859375,84.250000,49.663766,49.376978
_Net_resnet18__C_10__145_MSE_Variant2_kl_2_3v_A_0.9_T_30.0_.pth,145,88.610204,63.383241,85.200000,55.566406,82.610000,50.158228,49.604430
_Net_resnet18__C_10__135_MSE_CE_Attack_kl_2_3v_A_0.9_T_30.0_.pth,135,87.540816,64.619370,84.500000,55.859375,82.200000,49.248418,48.506725
_Net_resnet18__C_10__120_Attack_Temp_kl_2_3v_A_0.9_T_30.0_.pth,120,87.589796,62.885525,84.600000,54.882812,81.430000,50.207674,49.950554
_Net_resnet18__C_10__135_OurLoss_ConsistencyLoss_kl_2_3v_A_0.9_T_30.0_.pth,135,90.930612,65.482213,87.100000,56.738281,84.070000,50.336234,50.029668
_Net_resnet18__C_10__193_OurLoss_ConsistencyLoss_kl_2_3v_A_0.9_T_30.0_.pth,193,91.283673,65.945251,87.700000,57.226562,84.300000,50.178006,49.802215
_Net_resnet18__C_10__112_OurLoss_ConsistencyLoss_kl_2_3v_A_0.9_T_30.0_.pth,112,90.967347,65.400620,87.300000,56.054688,84.200000,50.217563,49.910997
_Net_resnet18__C_10__96_Consistency_delta_0.01_except_teacher_kl_2_3v_A_0.9_T_30.0_.pth,96,90.822449,64.968179,86.900000,56.542969,84.000000,49.970332,49.624209
_Net_resnet18__C_10__174_MSE_Consistency_Robust_Teacher_kl_2_3v_A_0.9_T_30.0_.pth,174,79.559184,59.570822,77.500000,53.417969,75.820000,50.454905,49.535206
_Net_resnet18__C_10__163_MSE_Consistency_Robust_Teacher_alpha_0.5_kl_2_3v_A_0.5_T_30.0_.pth,163,86.028571,62.638708,83.600000,54.492188,81.580000,50.019778,49.535206
